RepRapFirmware height map file v2 generated at 2020-02-24 11:57, min error -0.085, max error 0.690, mean 0.118, deviation 0.184
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,320.00,33.00,320.00,-1.00,20.00,20.00,16,15
  0.065,  0.122,  0.068,  0.020, -0.023, -0.050, -0.072, -0.085, -0.075, -0.047, -0.013,  0.053,  0.120,  0.207,  0.303,  0.400
  0.090,  0.118,  0.060,  0.017, -0.023, -0.050, -0.062, -0.065, -0.053, -0.027,  0.015,  0.075,  0.142,  0.235,  0.328,  0.438
  0.098,  0.108,  0.050,  0.003, -0.033, -0.060, -0.068, -0.060, -0.050, -0.025,  0.020,  0.080,  0.148,  0.237,  0.345,  0.463
  0.082,  0.080,  0.023, -0.025, -0.060, -0.075, -0.078, -0.075, -0.055, -0.027,  0.020,  0.082,  0.158,  0.255,  0.368,  0.503
  0.092,  0.072,  0.020, -0.020, -0.053, -0.068, -0.072, -0.065, -0.043, -0.007,  0.033,  0.095,  0.175,  0.283,  0.410,  0.560
  0.102,  0.075,  0.027, -0.013, -0.045, -0.053, -0.057, -0.040, -0.023,  0.005,  0.055,  0.118,  0.200,  0.310,  0.447,  0.615
  0.102,  0.082,  0.037, -0.003, -0.030, -0.040, -0.040, -0.033, -0.013,  0.017,  0.068,  0.130,  0.215,  0.325,  0.465,  0.642
  0.112,  0.100,  0.053,  0.015, -0.015, -0.025, -0.033, -0.023,  0.000,  0.030,  0.070,  0.138,  0.223,  0.335,  0.475,  0.665
  0.102,  0.095,  0.065,  0.030,  0.000, -0.013, -0.015, -0.007,  0.020,  0.057,  0.098,  0.158,  0.243,  0.350,  0.490,  0.662
  0.098,  0.088,  0.045,  0.013, -0.010, -0.013, -0.020, -0.010,  0.013,  0.053,  0.098,  0.160,  0.243,  0.352,  0.497,  0.672
  0.082,  0.075,  0.045,  0.020, -0.005, -0.010, -0.013,  0.000,  0.023,  0.057,  0.110,  0.172,  0.255,  0.368,  0.510,  0.678
  0.080,  0.080,  0.060,  0.035,  0.010,  0.005,  0.003,  0.005,  0.030,  0.062,  0.118,  0.182,  0.267,  0.375,  0.510,  0.690
  0.082,  0.085,  0.060,  0.045,  0.030,  0.050,  0.015,  0.020,  0.040,  0.080,  0.132,  0.203,  0.285,  0.390,  0.525,  0.688
  0.075,  0.082,  0.062,  0.045,  0.027,  0.025,  0.007,  0.005,  0.025,  0.050,  0.105,  0.175,  0.265,  0.372,  0.500,  0.650
      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
